SliceLocation,AcquisitionNumber,SeriesNumber,ImagePositionPatient,ImageType,InstanceNumber,SOPInstanceUID
-182.5,1,4,"[-161.000000, -170.000000, -182.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",42,1.3.6.1.4.1.14519.5.2.1.1706.8374.213210855429881697791865238485
-217.5,1,4,"[-161.000000, -170.000000, -217.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",56,1.3.6.1.4.1.14519.5.2.1.1706.8374.284549827221583529437814642378
-220.0,1,4,"[-161.000000, -170.000000, -220.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",57,1.3.6.1.4.1.14519.5.2.1.1706.8374.839529881850714134128329236407
-185.0,1,4,"[-161.000000, -170.000000, -185.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",43,1.3.6.1.4.1.14519.5.2.1.1706.8374.117003485121500633651976914779
-215.0,1,4,"[-161.000000, -170.000000, -215.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",55,1.3.6.1.4.1.14519.5.2.1.1706.8374.229966043110434068401777327206
-180.0,1,4,"[-161.000000, -170.000000, -180.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",41,1.3.6.1.4.1.14519.5.2.1.1706.8374.281120886431618341677985671586
-177.5,1,4,"[-161.000000, -170.000000, -177.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",40,1.3.6.1.4.1.14519.5.2.1.1706.8374.281386538102231744048154787802
-212.5,1,4,"[-161.000000, -170.000000, -212.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",54,1.3.6.1.4.1.14519.5.2.1.1706.8374.106150135915448905513407436718
-202.5,1,4,"[-161.000000, -170.000000, -202.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",50,1.3.6.1.4.1.14519.5.2.1.1706.8374.693928340746405805900573729315
-187.5,1,4,"[-161.000000, -170.000000, -187.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",44,1.3.6.1.4.1.14519.5.2.1.1706.8374.275342549028597483827488404229
-190.0,1,4,"[-161.000000, -170.000000, -190.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",45,1.3.6.1.4.1.14519.5.2.1.1706.8374.333316877952746404186227092958
-205.0,1,4,"[-161.000000, -170.000000, -205.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",51,1.3.6.1.4.1.14519.5.2.1.1706.8374.416267335065382788808232562545
-195.0,1,4,"[-161.000000, -170.000000, -195.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",47,1.3.6.1.4.1.14519.5.2.1.1706.8374.564655981280885239791547332050
-210.0,1,4,"[-161.000000, -170.000000, -210.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",53,1.3.6.1.4.1.14519.5.2.1.1706.8374.277044881175360573151843479501
-207.5,1,4,"[-161.000000, -170.000000, -207.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",52,1.3.6.1.4.1.14519.5.2.1.1706.8374.549483922479442908298675731745
-192.5,1,4,"[-161.000000, -170.000000, -192.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",46,1.3.6.1.4.1.14519.5.2.1.1706.8374.206901383352482487017214821642
-130.0,1,4,"[-161.000000, -170.000000, -130.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",21,1.3.6.1.4.1.14519.5.2.1.1706.8374.203504267816312660799732672495
-165.0,1,4,"[-161.000000, -170.000000, -165.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",35,1.3.6.1.4.1.14519.5.2.1.1706.8374.202220382788633816134890296049
-100.0,1,4,"[-161.000000, -170.000000, -100.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",9,1.3.6.1.4.1.14519.5.2.1.1706.8374.235902722410944506921969679931
-97.5,1,4,"[-161.000000, -170.000000, -97.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",8,1.3.6.1.4.1.14519.5.2.1.1706.8374.222191425407029720932409140739
-162.5,1,4,"[-161.000000, -170.000000, -162.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",34,1.3.6.1.4.1.14519.5.2.1.1706.8374.871767319262649778380943315858
-127.5,1,4,"[-161.000000, -170.000000, -127.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",20,1.3.6.1.4.1.14519.5.2.1.1706.8374.120937171765415918790111381499
-167.5,1,4,"[-161.000000, -170.000000, -167.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",36,1.3.6.1.4.1.14519.5.2.1.1706.8374.605256968186542266813499375140
-132.5,1,4,"[-161.000000, -170.000000, -132.500000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",22,1.3.6.1.4.1.14519.5.2.1.1706.8374.385908655040752935251355369889
-135.0,1,4,"[-161.000000, -170.000000, -135.000000]","['ORIGINAL', 'PRIMARY', 'AXIAL']",23,1.3.6.1.4.1.14519.5.2.1.1706.8374.775644164069116963851475352098
